"_id","_rev","roomRef","joined","LPG_MQ9_Level","CH4_MQ9_Level","CO_MQ9_Level","CO_MQ135_Level","Alcool_MQ135_Level","CO2_MQ135_Level","Toluen_MQ135_Level","MH4_MQ135_Level","Aceton_MQ135_Level","O3_MQ131_Level","Temperatura_Level","Humidade_Level","QualityAirConcept","CO_MQ9_Level_IQAR","CO_MQ135_Level_IQAR","O3_MQ131_Level_IQAR","CalcHeatIndex","TargetConcept"
"0067d3fb-c33a-4207-9ce2-158cf5d704dd","1-25d402e4f3a89353efd0b1309c69a069","Corredor IESB","13/04/24,04:44",1.76,1.97,0.89,0.27,0.15,0.41,0.05,0.81,0.05,3.8,27.1,89,"Boa",4.444444444444445,0,1.6,31.190853480816234,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"006e23ce-6b45-41a3-af91-98acb54feeb2","1-0f882827287bdab115dc916628d11f9d","Corredor IESB","12/04/24,20:24",3.06,3.84,1.57,0.73,0.34,0.84,0.13,1.51,0.11,3.89,30.8,83,"Boa",8.88888888888889,4.444444444444445,1.6,41.25350143200585,"Perigo:  cãibras e exaustão pelo calor são prováveis; a insolação é provável com atividade contínua."
"007ec6cc-14c9-46f8-b516-57404fd65482","1-4683724cacc590fa351203f179cc7014","Corredor IESB","12/04/24,15:44",3.59,4.67,1.86,0.95,0.42,1.01,0.16,1.77,0.14,4.21,30.2,83,"Boa",8.88888888888889,4.444444444444445,1.6,39.19946082960584,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"0092300b-b854-4e7c-be17-e0d624b763b9","1-43c5ec9fcd6f855709c9d4e5359bf9cb","Laboratorio de neurociencias  e comportamento","13/04/24,04:42",2.53,3.05,1.29,2.04,0.78,1.76,0.31,2.86,0.27,4.44,24.8,74,"Boa",4.444444444444445,8.88888888888889,1.6,20.458,"Não encontrado"
"0094c446-2035-4770-9f77-428446f23590","1-f651cea0c1a76736c3d592efa677f1c6","Corredor IESB","12/04/24,21:46",2.07,2.39,1.05,0.36,0.19,0.5,0.07,0.97,0.06,3.8,30.2,85,"Boa",4.444444444444445,0,1.6,39.830483206524974,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"00a53656-78fc-4318-89e1-3931f7dd9d56","1-94384bf47492febaa514df07ef28b5e2","Corredor IESB","13/04/24,15:28",0.92,0.9,0.46,0.08,0.06,0.17,0.02,0.39,0.02,4.02,30.2,84,"Boa",0,0,1.6,39.51275488112322,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"00a8b6df-be5d-4086-9090-a797f9334d17","1-cd97c020a866b3334f7e099a4719ff82","Corredor IESB","12/04/24,17:16",2.85,3.52,1.46,0.64,0.31,0.76,0.11,1.38,0.1,3.84,30.8,83,"Boa",4.444444444444445,4.444444444444445,1.6,41.25350143200585,"Perigo:  cãibras e exaustão pelo calor são prováveis; a insolação é provável com atividade contínua."
"00dcb1e2-4686-44aa-aa8f-233f5d16201a","1-61f9b0ea11f0224563e29030cfc192b8","Corredor IESB","14/04/24,10:52",0.8,0.76,0.4,0.07,0.05,0.15,0.02,0.34,0.01,3.72,25.8,92,"Boa",0,0,1.6,22.403999999999996,"Não encontrado"
"00ec099f-3824-472d-8258-d736df30ec2e","1-f99ec21308d5b6450218b30ec40717ed","Corredor IESB","13/04/24,10:48",0.61,0.54,0.3,0.04,0.03,0.1,0.01,0.24,0.01,3.67,27.6,90,"Boa",0,0,1.6,32.804779051720004,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"00ec3f01-172a-4325-ac50-7d6ae75b4382","1-f2957918b57eeea5b70e393e5652ba6d","Laboratorio de neurociencias  e comportamento","12/04/24,19:29",3,3.76,1.54,4.6,1.5,3.18,0.63,4.77,0.53,4.94,26.7,72,"Boa",8.88888888888889,22.22222222222222,2,28.500115307984785,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"00f6fce4-43ae-44a4-943f-9447f52bd9d5","1-5387321e2fedf907ae569b09ebe69380","Laboratorio de neurociencias  e comportamento","13/04/24,05:25",2.48,2.97,1.27,2.09,0.79,1.79,0.32,2.9,0.27,4.48,25.3,74,"Boa",4.444444444444445,8.88888888888889,1.6,21.008,"Não encontrado"
"00fe0883-14cb-407c-b9c7-afdeb1d88bbe","1-78e190d0263b39feefc24609cbc79647","Corredor IESB","14/04/24,05:29",0.63,0.57,0.31,0.04,0.03,0.11,0.01,0.25,0.01,3.67,27.6,89,"Boa",0,0,1.6,32.59862956601619,"Não encontrado"
"010bd481-64d0-433a-a591-79a5cf06df44","1-3c51773f21758f954c83fa0819287af6","Corredor IESB","12/04/24,21:25",1.89,2.14,0.96,0.3,0.17,0.44,0.06,0.87,0.05,3.8,30.2,84,"Boa",4.444444444444445,0,1.6,39.51275488112322,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"0110f627-7fe8-4f18-85c8-134fa3802923","1-1353a41a152da1e706bcf6a406e7d1ec","Laboratorio de neurociencias  e comportamento","12/04/24,19:49",2.85,3.52,1.46,3.4,1.17,2.55,0.48,3.94,0.41,4.87,26.7,71,"Boa",4.444444444444445,13.333333333333334,2,28.430175717980198,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"01159433-8606-4f0e-91f3-2098bbfb9e83","1-decadbb2fb1ecadf15702c5abda1e82d","Corredor IESB","13/04/24,13:49",0.77,0.73,0.38,0.06,0.05,0.14,0.01,0.32,0.01,3.99,28.5,88,"Boa",0,0,1.6,35.079260626976854,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"01184a66-2fa3-49aa-88a9-db8dded5df26","1-82429bf9edb03a346e5dc1eb2c648e34","Corredor IESB","13/04/24,02:27",1.63,1.79,0.82,0.25,0.14,0.38,0.05,0.77,0.04,3.79,26.2,89,"Boa",4.444444444444445,0,1.6,22.703000000000003,"Não encontrado"
"011b7817-cf9c-4fb8-a25c-a47acafdb1ed","1-74d4ee9c6b44318c3752a95f5fe222be","Corredor IESB","09/04/24,14:35",2.92,3.64,1.5,0.7,0.33,0.81,0.12,1.47,0.11,4.5,30.2,79,"Boa",8.88888888888889,4.444444444444445,2,37.990627362380195,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"0144e6c8-4137-4ad3-911b-0731b68a0211","1-e9fe6987e981c515a2bb09bd578698af","Corredor IESB","13/04/24,20:05",0.34,0.27,0.17,0.01,0.01,0.05,0,0.12,0,3.93,28.9,89,"Boa",0,0,1.6,36.62426888241617,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"014666f1-05b9-40c8-8cb4-4a02b58d1a85","1-a3b5eda5aec49ed4ca33ec44614bb381","Corredor IESB","12/04/24,18:49",2.79,3.43,1.43,0.61,0.29,0.73,0.11,1.34,0.09,3.84,30.8,82,"Boa",4.444444444444445,4.444444444444445,1.6,40.90117305117287,"Perigo:  cãibras e exaustão pelo calor são prováveis; a insolação é provável com atividade contínua."
"014bb4a5-b0c9-4049-b34f-ad2c3e7ad2ab","1-6baa4c5e3f0a2aa5665f4b62c6d7b9a2","Corredor IESB","15/04/24,07:39",0.65,0.59,0.32,0.04,0.04,0.11,0.01,0.26,0.01,3.67,27.1,92,"Boa",0,0,1.6,31.738452936840815,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"014ea582-bbb1-4704-8ff6-92b4763bfdec","1-03d097745b75a0ccb0f1ee2616ee0a34","Corredor IESB","14/04/24,11:21",0.82,0.78,0.41,0.07,0.05,0.15,0.02,0.35,0.01,3.7,26.7,91,"Boa",0,0,1.6,30.445692770108273,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"016ddd6b-d143-48e7-b5d9-cf22d0efd083","1-5d6ce06afd7a0112a70fbda6181a4420","Corredor IESB","13/04/24,06:38",1.3,1.36,0.65,0.16,0.1,0.27,0.03,0.57,0.03,3.74,27.1,89,"Boa",4.444444444444445,0,1.6,31.190853480816234,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"017c0c3c-a172-422a-b83c-be1372dc4478","1-cf70ddccdc2767607f1d05ca28daf9e8","Corredor IESB","14/04/24,15:49",1.59,1.74,0.8,0.23,0.13,0.36,0.05,0.72,0.04,3.77,28.9,82,"Boa",4.444444444444445,0,1.6,34.8924340685128,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"017ce903-ac00-4443-a424-62b00047b613","1-8be3da4914b534dbc6b355d7ed2c02fe","Corredor IESB","13/04/24,18:14",0.54,0.47,0.26,0.03,0.03,0.08,0.01,0.2,0.01,3.98,28.5,90,"Boa",0,0,1.6,35.58220585786008,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"0194701d-c8d5-46fe-9576-59b612682c7e","1-98e6756d5e84f7bd40102c96141f452a","Laboratorio de neurociencias  e comportamento","13/04/24,03:19",3,3.76,1.54,3.31,1.15,2.5,0.47,3.87,0.4,4.82,25.8,73,"Boa",8.88888888888889,13.333333333333334,2,21.511,"Não encontrado"
"01c6fd81-5a5b-4ebd-886f-b326f92dbb6b","1-1846c8296bdc626862efb749b9163732","Corredor IESB","14/04/24,08:00",1.07,1.08,0.53,0.11,0.08,0.22,0.02,0.47,0.02,3.75,26.2,90,"Boa",4.444444444444445,0,1.6,22.750000000000004,"Não encontrado"
"01d8326a-b0b1-4d23-bf70-b474fc84a7d8","1-6d7eee21518fa98fd41f35118cecf35b","Corredor IESB","13/04/24,02:44",0.49,0.42,0.24,0.03,0.02,0.07,0.01,0.18,0.01,3.64,26.2,89,"Boa",0,0,1.6,22.703000000000003,"Não encontrado"
"01e678f1-cff9-46da-af38-c67b9d6259bf","1-3b2913bed396e4c3fbfad464973f2a17","Laboratorio de neurociencias  e comportamento","12/04/24,18:34",2.9,3.59,1.49,14.77,3.85,7.43,1.74,9.92,1.45,4.92,25.3,67,"Muito Ruim",4.444444444444445,200,2,20.679,"Não encontrado"
"01f92fa5-3263-4485-adaa-67584bc1f3bc","1-1ca701da7ef1e8046260c0ef6c04116e","Corredor IESB","13/04/24,10:46",0.65,0.59,0.32,0.04,0.03,0.1,0.01,0.25,0.01,3.68,27.6,90,"Boa",0,0,1.6,32.804779051720004,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"01fbdd67-0ac0-4cb6-ac32-147d5f6c6ec0","1-47babb0d51e0c526edf819f21e36b16e","Corredor IESB","15/04/24,04:46",0.22,0.16,0.1,0.01,0.01,0.02,0,0.07,0,3.59,27.1,92,"Boa",0,0,1.6,31.738452936840815,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"0210b387-452c-46ec-b60c-d736733571f4","1-0dc27bb6e01ad5491ae072fb5f536bc5","Corredor IESB","13/04/24,18:38",0.37,0.3,0.18,0.02,0.02,0.05,0,0.14,0,3.96,28.5,91,"Boa",0,0,1.6,35.837702381468254,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"021364c1-58e4-425d-90e7-1c4ef64a5313","1-89bea15ff743efec3fef430509d52dd7","Corredor IESB","14/04/24,01:17",0.38,0.3,0.18,0.02,0.02,0.05,0,0.14,0,3.64,28,91,"Boa",0,0,1.6,34.23637889946828,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"021887b0-7d06-4852-af9d-3e95620af844","1-7da9d88bcfcd4aa2bca7b467aa437096","Corredor IESB","09/04/24,14:05",2.31,2.74,1.18,0.4,0.21,0.54,0.07,1.04,0.07,4.41,29.8,80,"Boa",4.444444444444445,0,1.6,37.05922669036002,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"021a731f-475a-4e3a-8488-3000aa4ae7e7","1-35b6edb66589d72ed2bb831925f7fe74","Corredor IESB","13/04/24,11:20",0.65,0.59,0.32,0.05,0.04,0.11,0.01,0.27,0.01,3.65,28,88,"Boa",0,0,1.6,33.55665353147683,"Não encontrado"
"0222f51e-65aa-474e-b890-1915e0584240","1-42af54b93b2bc6130353e205eedfe776","Corredor IESB","14/04/24,10:32",0.94,0.92,0.47,0.09,0.06,0.17,0.02,0.39,0.02,3.73,25.8,92,"Boa",0,0,1.6,22.403999999999996,"Não encontrado"
"02346d47-f499-4189-b53c-a72ae109c7e9","1-1be1d0d893f65989fb11b57be09965f0","Corredor IESB","14/04/24,21:26",0.83,0.79,0.41,0.07,0.05,0.15,0.02,0.35,0.01,3.62,29.3,88,"Boa",0,0,1.6,37.67620070633688,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"0243c8d0-274b-4bbe-8d63-d3124100c200","1-e89fbfc1c725946e41c1be0aebdfc1df","Corredor IESB","09/04/24,18:05",1.48,1.59,0.75,0.2,0.12,0.33,0.04,0.67,0.04,4.33,29.8,85,"Boa",4.444444444444445,0,1.6,38.46187163852505,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"02444f17-f67b-4fc0-9cae-efb772620c69","1-fb338ab6fb10150973a20f47546381b6","Corredor IESB","13/04/24,13:28",0.63,0.57,0.31,0.04,0.03,0.11,0.01,0.25,0.01,4,28.5,88,"Boa",0,0,1.6,35.079260626976854,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"02952adb-2bb4-4775-86f0-61ba24822b25","1-40f16e1db356673eda994f46138c9ab6","Corredor IESB","14/04/24,16:03",1.62,1.78,0.82,0.24,0.14,0.37,0.05,0.75,0.04,3.78,29.3,83,"Boa",4.444444444444445,0,1.6,36.316295432405894,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"02a0fa2b-927f-44bf-b300-012fed9845b0","1-fa8a5600040b73c4ce513827bf761a36","Corredor IESB","13/04/24,18:49",0.4,0.32,0.19,0.02,0.02,0.05,0,0.14,0,3.96,28,91,"Boa",0,0,1.6,34.23637889946828,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"02a4ea85-c8ef-42e8-9a02-6e80684cb28c","1-1a1ddf8fabfc73bc2ace46eae0cee492","Laboratorio de neurociencias  e comportamento","13/04/24,02:21",2.81,3.46,1.44,7.16,2.15,4.39,0.93,6.3,0.78,4.72,28,75,"Boa",4.444444444444445,31.111111111111114,2,31.35576789506502,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"02a7659a-260c-4b18-bfd9-492bd054a380","1-4ae226c4b43b7fa9c156c6a444e6fad2","Corredor IESB","13/04/24,08:24",0.7,0.65,0.35,0.05,0.04,0.12,0.01,0.28,0.01,3.66,27.1,89,"Boa",0,0,1.6,31.190853480816234,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"02c019c2-daef-4c6d-bb85-d39895d5de37","1-bcb9558c47862441776f7b3b2f2a0be7","Corredor IESB","12/04/24,17:53",2.48,2.98,1.27,0.52,0.26,0.65,0.09,1.21,0.08,3.86,31.3,82,"Boa",4.444444444444445,4.444444444444445,1.6,42.65638242627287,"Perigo:  cãibras e exaustão pelo calor são prováveis; a insolação é provável com atividade contínua."
"02ea46b0-8a28-40e1-bcf0-a62ce46f6529","1-aed843032a6c4e777e0225cc5323c77b","Corredor IESB","14/04/24,08:39",1.24,1.28,0.62,0.15,0.09,0.26,0.03,0.55,0.03,3.78,26.2,89,"Boa",4.444444444444445,0,1.6,22.703000000000003,"Não encontrado"
"030e8e7d-2498-475d-9339-112b29376a10","1-30209e3a08f32f53ea061542b803bca8","Corredor IESB","13/04/24,06:04",0.88,0.85,0.44,0.07,0.05,0.16,0.02,0.36,0.02,3.76,26.3,90,"Boa",0,0,1.6,22.86,"Não encontrado"
"0319f4a4-1489-41b8-b1d5-b937220c3925","1-8e7ca307243b69c071ef6537331a1071","Laboratorio de neurociencias  e comportamento","13/04/24,01:34",2.77,3.4,1.42,8.74,2.52,5.07,1.1,7.14,0.92,4.8,28,74,"Boa",4.444444444444445,40,2,31.213585699067245,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"03297b8f-e78f-4eb8-ab44-eaa64cb555ae","1-706ffa516df89ff3d0b0e0a1d6fc78f2","Corredor IESB","14/04/24,13:48",1.23,1.28,0.62,0.14,0.09,0.25,0.03,0.53,0.03,3.77,28,85,"Boa",4.444444444444445,0,1.6,32.89636391948502,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"032b4da7-c631-457a-9414-3cc76323574b","1-a34357efd0268fd705eafca0bdf610a9","Laboratorio de neurociencias  e comportamento","13/04/24,05:35",2.48,2.97,1.27,2.25,0.84,1.89,0.34,3.05,0.29,4.48,24.8,76,"Boa",4.444444444444445,8.88888888888889,1.6,20.551999999999996,"Não encontrado"
"032baacf-eb71-4411-a778-cf0483fb66b4","1-f037455611257c55ecfed7564d48dffc","Corredor IESB","14/04/24,23:05",0.76,0.71,0.38,0.06,0.04,0.13,0.01,0.31,0.01,3.65,28.5,89,"Boa",0,0,1.6,35.329391939696286,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"034391e0-3bff-4118-8029-8d28230df51d","1-cd7a325353dc83c401a680ab6cef133d","Laboratorio de neurociencias  e comportamento","13/04/24,01:49",2.69,3.29,1.38,8.52,2.47,4.98,1.08,7.02,0.9,4.73,28,74,"Boa",4.444444444444445,40,2,31.213585699067245,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"034b08ca-2f44-458a-bb90-d6fa35da84e6","1-a176202437560ffbf8b2f22ee2064491","Laboratorio de neurociencias  e comportamento","12/04/24,19:54",2.85,3.52,1.46,3.66,1.25,2.7,0.51,4.13,0.44,4.89,26.2,71,"Boa",4.444444444444445,17.77777777777778,2,21.857000000000003,"Não encontrado"
"0359207f-0da8-45d6-8ed5-0f40cf133301","1-a6115ba37bf8b92be0648493910f3db4","Corredor IESB","09/04/24,17:51",1.62,1.77,0.82,0.22,0.13,0.35,0.04,0.7,0.04,4.33,29.8,85,"Boa",4.444444444444445,0,1.6,38.46187163852505,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"035c2ef7-5ef0-42b1-aa18-e5b7155d4336","1-2f876ae65ba9c05ece587d896d4a5820","Corredor IESB","13/04/24,03:54",1.24,1.29,0.62,0.14,0.09,0.25,0.03,0.53,0.03,3.78,26.7,89,"Boa",4.444444444444445,0,1.6,30.12085130417625,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"038365ef-de8b-4560-a526-e8dc74e68d27","1-356ef5f2f90425efff03a4cfab82cbcb","Corredor IESB","13/04/24,19:58",0.29,0.22,0.14,0.01,0.01,0.04,0,0.1,0,3.9,28.5,90,"Boa",0,0,1.6,35.58220585786008,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"038e874b-2094-4466-89d6-4a48557a27ba","1-5c9cf89bc2daac6d4753155e10109612","Corredor IESB","14/04/24,23:28",0.88,0.85,0.44,0.08,0.05,0.16,0.02,0.36,0.02,3.71,28,88,"Boa",0,0,1.6,33.55665353147683,"Não encontrado"
"038fc158-16ec-40f2-97e9-238d7f603029","1-493cb92075d089ec582551338f1ba7e7","Corredor IESB","14/04/24,14:35",1.35,1.43,0.68,0.17,0.11,0.29,0.04,0.61,0.03,3.76,28.5,86,"Boa",4.444444444444445,0,1.6,34.5870458178713,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"03a09aa2-95c9-49ee-afd9-058111f8ba82","1-e1d35b71bec65f23568931dfe78ac363","Laboratorio de neurociencias  e comportamento","12/04/24,18:51",2.88,3.57,1.48,12.15,3.29,6.45,1.47,8.78,1.22,4.83,25.8,68,"Ruim",4.444444444444445,81,2,21.276,"Não encontrado"
"03a4fb82-cd39-425a-bd56-b8ed0907bcb0","1-b89f64ba9fd26c5d735f590696f07b2f","Corredor IESB","13/04/24,18:30",0.45,0.37,0.22,0.02,0.02,0.06,0.01,0.16,0.01,3.98,28.5,90,"Boa",0,0,1.6,35.58220585786008,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"03aca0d0-5df9-4f52-83d8-be91a428dd43","1-f97c1c2d51fce3c7741559f78a35cbac","Corredor IESB","09/04/24,14:24",2.46,2.95,1.26,0.48,0.24,0.61,0.09,1.15,0.08,4.43,30.2,79,"Boa",4.444444444444445,0,1.6,37.990627362380195,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"03b95142-effc-41f9-bd1e-ba309d019e52","1-d90d68288624f82d2e8ccefc2e684f72","Corredor IESB","09/04/24,14:15",3.24,4.11,1.67,0.88,0.39,0.95,0.15,1.68,0.13,4.56,29.9,80,"Boa",8.88888888888889,4.444444444444445,2,37.36171492737999,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"03d1a4e5-e1b3-4c0f-b3a9-a4d484d8f061","1-cdc80ed205c416143a14bdae42eeb694","Corredor IESB","14/04/24,09:37",1.24,1.29,0.62,0.15,0.09,0.26,0.03,0.55,0.03,3.8,25.8,91,"Boa",4.444444444444445,0,1.6,22.357,"Não encontrado"
"03df1a05-1546-4c3c-ad95-28774f83bcbc","1-44edb904815b562f26a2e36ad44a32f0","Corredor IESB","14/04/24,13:24",1.15,1.17,0.58,0.13,0.09,0.24,0.03,0.51,0.03,3.75,28,87,"Boa",4.444444444444445,0,1.6,33.33439746570179,"Não encontrado"
"03e330f0-3203-48eb-bb0a-39a926118336","1-361717e62ecd89e1edfdcb96cda1e5a0","Corredor IESB","15/04/24,02:35",0.89,0.86,0.44,0.08,0.06,0.17,0.02,0.38,0.02,3.7,28,90,"Boa",0,0,1.6,34.007644248360016,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"0417644d-f3ff-4563-824b-5b72e6e07345","1-984c407cad8dcc956a80d13c45acd221","Laboratorio de neurociencias  e comportamento","12/04/24,23:11",2.57,3.12,1.32,8.57,2.48,5,1.08,7.05,0.91,4.81,28,72,"Boa",4.444444444444445,40,2,30.935699892404784,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"0419768d-0bf3-40a2-90f7-e1d7f296b5c7","1-a465da53f3433f11e0275f59de230c92","Laboratorio de neurociencias  e comportamento","13/04/24,01:58",2.85,3.52,1.46,8.36,2.43,4.91,1.06,6.94,0.89,4.8,28,74,"Boa",4.444444444444445,35.55555555555556,2,31.213585699067245,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
